02,PL-02,Polska,dolnośląskie,"19 946,74 ",2 883 133,Maciej Awiżeń,Paweł Gancarz,pl. Powstańców Warszawy 1 50-951 Wrocław,wybrzeże J. Słowackiego 12/14 Wrocław,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_dolno%C5%9Bl%C4%85skiego
04,PL-KP,Polska,kujawsko-pomorskie,"17 971,34 ",2 001 670,Michał Sztybel,Piotr Całbecki,ul. Jagiellońska 3 85-950 Bydgoszcz,pl. Teatralny 2 87-100 Toruń,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_kujawsko-pomorskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_kujawsko-pomorskiego
06,PL-LU,Polska,lubelskie,"25 122,46 ",2 038 299,Krzysztof Komorski,Jarosław Stawiarski,ul. Spokojna 4 20-914 Lublin,ul. Artura Grottgera 4 20-029 Lublin,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_lubelskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_lubelskiego
08,PL-08,Polska,lubuskie,"13 987,93 ",977 493,Marek Cebula,Marcin Jabłoński,ul. K. Jagiellończyka 8 66–400 Gorzów Wielkopolski,ul. Podgórna 7 65–057 Zielona Góra,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_lubuskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_lubuskiego
10,PL-LD,Polska,łódzkie,"18 218,98 ",2 362 519,Dorota Ryl,Joanna Skrzydlewska,ul. Piotrkowska104 90-926 Łódź,al. marsz. J. Piłsudskiego8 90-051 Łódź,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_%C5%82%C3%B3dzkie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_%C5%82%C3%B3dzkiego
12,PL-MA,Polska,małopolskie,"15 182,87 ",3 430 370,Krzysztof Klęczar,Łukasz Smółka,ul. Basztowa 22 31-156 Kraków,ul. Racławicka 56 Kraków,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_ma%C5%82opolskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_ma%C5%82opolskiego
14,PL-MZ,Polska,mazowieckie,"35 558,47 ",5 512 794,Mariusz Frankowski,Adam Struzik,pl. Bankowy 3/5 00-950 Warszawa,ul. Jagiellońska 26 Warszawa,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_mazowieckie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_mazowieckiego
16,PL-OP,Polska,opolskie,"9411,87 ",948 583,Monika Jurek,Szymon Ogłaza,ul. Piastowska 14 45-082 Opole,ul. Piastowska 14 45-082 Opole,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_opolskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_opolskiego
18,PL-PK,Polska,podkarpackie,"17 845,76 ",2 085 932,Teresa Kubas-Hul,Władysław Ortyl,ul. Grunwaldzka 15 35-959 Rzeszów,al. Łukasza Cieplińskiego 4 35-010 Rzeszów,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_podkarpackie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_podkarpackiego
20,PL-PD,Polska,podlaskie,"20 187,02",1 148 720,Jacek Brzozowski,Łukasz Prokorym,ul. Mickiewicza 3 15-213 Białystok,ul. Wyszyńskiego 1 Białystok,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_podlaskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_podlaskiego
22,PL-PM,Polska,pomorskie,"18 310,34 ",2 358 323,Beata Rutkiewicz,Mieczysław Struk,ul. Okopowa21/27 80-810 Gdańsk,ul. Okopowa 21/27 Gdańsk,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_pomorskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_pomorskiego
24,PL-SL,Polska,śląskie,"12 333,09 ",4 375 947,Marek Wójcik,Wojciech Saługa,ul. Jagiellońska25 40-032 Katowice,ul. J. Ligonia46 Katowice,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_%C5%9Bl%C4%85skie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_%C5%9Bl%C4%85skiego
26,PL-SK,Polska,świętokrzyskie,"11 710,5 ",1 187 693,Józef Bryk,Renata Janik,al. IX Wieków Kielc 325-516 Kielce,al. IX Wieków Kielc 3 Kielce,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_%C5%9Bwi%C4%99tokrzyskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_%C5%9Bwi%C4%99tokrzyskiego
28,PL-WN,Polska,warmińsko-mazurskie,"24 173,47 ",1 362 433,Radosław Król,Marcin Kuchciński,al. Marszałka J. Piłsudskiego7/9 10-575 Olsztyn,ul. Emilii Plater 1 10-562 Olsztyn,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_warmi%C5%84sko-mazurskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_warmi%C5%84sko-mazurskiego
30,PL-WP,Polska,wielkopolskie,"29 826,51 ",3 490 364,Agata Sobczyk,Marek Woźniak,al. Niepodległości 16/18 61-713 Poznań,al. Niepodległości34 61-714 Poznań,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_wielkopolskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_wielkopolskiego
32,PL-ZP,Polska,zachodniopomorskie,"22 892,48 ",1 636 293,Adam Rudawski,Olgierd Geblewicz,Wały Chrobrego4 70-502 Szczecin,ul. Piłsudskiego 40-42Szczecin,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_zachodniopomorskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_zachodniopomorskiego
